feature,category,clean,clean_flip
SYMPT-joint_pain_arthralgia___2,Sympt,Arthralgia,Arthralgia LC+
SYMPT-loss_of_taste_lost_of_smel___1,Sympt,CoV Ageusia/Anosmia,Ageusia/Anosmia CoV
SYMPT-loss_of_taste_lost_of_smel___2,Sympt,Ageusia/Anosmia,Ageusia/Anosmia LC+
SYMPT-muscle_aches_myalgia___1,Sympt,CoV Myalgia,Myalgia CoV
SYMPT-muscle_aches_myalgia___2,Sympt,Myalgia,Myalgia LC+
SYMPT-nausea_vomiting___1,Sympt,CoV Nausea Vomiting,Nausea Vomiting CoV
SYMPT-night_sweats___2,Sympt,Night Sweats,Night Sweats LC+
SYMPT-runny_nose_rhinorrhea___1,Sympt,CoV Rhinorrhea,Rhinorrhea CoV
SYMPT-runny_nose_rhinorrhea___2,Sympt,Rhinorrhea,Rhinorrhea LC+
SYMPT-shortness_of_breath_dyspne___1,Sympt,CoV Dyspnea,Dyspnea CoV
SYMPT-shortness_of_breath_dyspne___2,Sympt,Dyspnea,Dyspnea LC+
SYMPT-sore_throat___1,Sympt,CoV Sore Throat,Sore Throat CoV
SYMPT-weight_loss___1,Sympt,CoV Weight Loss,Weight Loss CoV
SYMPT-weight_loss___2,Sympt,Weight Loss,Weight Loss LC+
VAX-vaccinated,Vax,Vaccinated,Vaccinated
age,Demo,Age,Age
sex,Demo,Sex,Sex
SYMPT-headache___2,Sympt,Headache,Headache LC+
SYMPT-chest_pain___2,Sympt,Chest Pain,Chest Pain LC+
SYMPT-sore_throat___2,Sympt,Sore Throat,Sore Throat LC+
SYMPT-ear_pain___2,Sympt,Ear Pain,Ear Pain LC+
SYMPT-nausea_vomiting___2,Sympt,Nausea/Vomiting,Nausea/Vomiting LC+
SYMPT-cough___2,Sympt,Cough,Cough LC+
HHX-Cardiovascular disease,Hhx,PMHx Cardiovascular Disease,Cardiovasclar Disease PMHx
HHX-OTHER-hypo,Hhx,PMHx Hypothyroid,Hypothyroid PMHx
HHX-OTHER-hyper,Hhx,PMHx Hyperthyroid,Hyperthyroid PMHx
SYMPT-wheezing_or_stridor___2,Sympt,Wheezing/Stridor,Wheezing/Stridor LC+
SYMPT-diarrhea___2,Sympt,Diarrhea,Diarrhea LC+
SYMPT-loss_of_appetite___2,Sympt,Loss of Appetite,Loss of Appetite LC+
SYMPT-abdominal_pain___2,Sympt,Abdominal Pain,Abdominal Pain LC+
SYMPT-skin_rash___2,Sympt,Skin Rash,Skin Rash LC+
SYMPT-leg_swelling_edema___2,Sympt,Edema,Edema LC+
CD-neurologic_complications___1,Cd,CoV Neurologic Complications,Neurologic Complications CoV
HHX-Coronary artery disease,Hhx,PMHx CAD,CAD PMHx
SYMPT-trouble_speaking_aphasia_d___2,Sympt,Aphasia/Dysphasia,Aphasia/Dysphasia LC+
SYMPT-seizure___2,Sympt,Seizure,Seizure LC+
SYMPT-hemoptysis_bloody_sputum___2,Sympt,Hemoptysis,Hemoptysis LC+
SYMPT-red_eye_conjunctivitis___2,Sympt,Conjunctivitis,Conjunctivitis LC+
